"departamento","empresa","peso"
"AMAZONAS","20148020966",1
"AMAZONAS","20270971891",1
"AMAZONAS","20450119254",2
"AMAZONAS","20450278051",1
"AMAZONAS","20450326713",1
"AMAZONAS","20453649840",1
"AMAZONAS","20479764728",1
"AMAZONAS","20479790303",1
"AMAZONAS","20479840688",1
"AMAZONAS","20480009755",1
"AMAZONAS","20480214928",1
"AMAZONAS","20480427913",2
"AMAZONAS","20480590661",1
"AMAZONAS","20480836252",2
"AMAZONAS","20487499685",2
"AMAZONAS","20494079713",1
"AMAZONAS","20495973981",1
"AMAZONAS","20523790324",1
"AMAZONAS","20539013441",2
"AMAZONAS","20539183878",1
"AMAZONAS","20561152005",2
"AMAZONAS","20563373009",1
"AMAZONAS","20570818644",2
"AMAZONAS","20600162412",1
"AMAZONAS","20600924169",2
"AMAZONAS","20602570534",1
"AMAZONAS","20603512040",1
"AMAZONAS","20604115923",1
"AMAZONAS","99000027401",1
"ANCASH","20172889540",1
"ANCASH","20227233321",1
"ANCASH","20266458089",1
"ANCASH","20407987650",1
"ANCASH","20408018804",1
"ANCASH","20445292541",2
"ANCASH","20445328597",1
"ANCASH","20445464261",1
"ANCASH","20445549411",1
"ANCASH","20445572668",1
"ANCASH","20445575411",2
"ANCASH","20445629015",2
"ANCASH","20445653234",1
"ANCASH","20445695310",1
"ANCASH","20477160710",3
"ANCASH","20481871027",1
"ANCASH","20483795590",1
"ANCASH","20486554160",1
"ANCASH","20488252578",1
"ANCASH","20489528283",1
"ANCASH","20495675611",3
"ANCASH","20505621159",1
"ANCASH","20517623394",1
"ANCASH","20529202998",1
"ANCASH","20530954022",1
"ANCASH","20530990681",2
"ANCASH","20531065019",1
"ANCASH","20531084072",1
"ANCASH","20531089627",1
"ANCASH","20531737645",1
"ANCASH","20531897413",1
"ANCASH","20533788891",1
"ANCASH","20534013923",1
"ANCASH","20534165278",1
"ANCASH","20534489685",1
"ANCASH","20541616382",1
"ANCASH","20541666487",1
"ANCASH","20541674820",1
"ANCASH","20541706454",1
"ANCASH","20541776584",1
"ANCASH","20542022290",1
"ANCASH","20542072637",1
"ANCASH","20542132982",1
"ANCASH","20542169550",1
"ANCASH","20544771478",3
"ANCASH","20545512662",1
"ANCASH","20548656606",1
"ANCASH","20569209782",1
"ANCASH","20571160995",1
"ANCASH","20571395364",2
"ANCASH","20600392892",1
"ANCASH","20600683650",1
"ANCASH","20601293618",1
"ANCASH","20602214959",1
"ANCASH","20602578501",1
"ANCASH","20602794769",1
"ANCASH","20603063326",1
"ANCASH","20603967055",1
"ANCASH","20604091382",1
"ANCASH","20604332886",1
"ANCASH","20605408631",1
"APURIMAC","10238862570",1
"APURIMAC","20396681651",1
"APURIMAC","20494740673",1
"APURIMAC","20495675611",1
"APURIMAC","20527479704",1
"APURIMAC","20535757811",1
"APURIMAC","20600223837",1
"AREQUIPA","20134676508",1
"AREQUIPA","20191808241",1
"AREQUIPA","20371131664",1
"AREQUIPA","20393438941",1
"AREQUIPA","20447781655",1
"AREQUIPA","20447909805",1
"AREQUIPA","20450519783",1
"AREQUIPA","20456317376",1
"AREQUIPA","20485839462",1
"AREQUIPA","20511866481",1
"AREQUIPA","20534297930",1
"AREQUIPA","20545512662",1
"AREQUIPA","20548123888",1
"AREQUIPA","20548865604",1
"AREQUIPA","20600044622",1
"AREQUIPA","20600178271",1
"AREQUIPA","20600408888",1
"AREQUIPA","99000027401",2
"AREQUIPA","99000028327",1
"AYACUCHO","20486404273",2
"AYACUCHO","20494740673",1
"AYACUCHO","20604032246",1
"CAJAMARCA","10238862570",1
"CAJAMARCA","20396681651",1
"CAJAMARCA","20494740673",1
"CAJAMARCA","20495675611",1
"CAJAMARCA","20527479704",1
"CAJAMARCA","20535757811",1
"CAJAMARCA","20600223837",1
"CALLAO","20478157976",2
"CALLAO","20493043073",2
"CALLAO","20511317038",1
"CALLAO","20516080206",2
"CALLAO","20522385442",1
"CALLAO","20571493374",1
"CUSCO","10004912557",1
"CUSCO","10475851531",1
"CUSCO","20210651706",1
"CUSCO","20399836213",1
"CUSCO","20452677921",1
"CUSCO","20527739030",1
"CUSCO","20528036164",1
"CUSCO","20602318193",1
"HUANCAVELICA","10410713506",1
"HUANCAVELICA","20486103079",1
"HUANCAVELICA","20486136830",1
"HUANCAVELICA","20486290910",1
"HUANCAVELICA","20486354829",2
"HUANCAVELICA","20486373297",1
"HUANCAVELICA","20486572061",1
"HUANCAVELICA","20486604876",1
"HUANCAVELICA","20486625954",1
"HUANCAVELICA","20486974886",1
"HUANCAVELICA","20487110141",1
"HUANCAVELICA","20487181910",1
"HUANCAVELICA","20494341973",2
"HUANCAVELICA","20494951020",2
"HUANCAVELICA","20541517139",1
"HUANCAVELICA","20541578430",1
"HUANCAVELICA","20543060918",1
"HUANCAVELICA","20543764303",2
"HUANCAVELICA","20548123888",1
"HUANCAVELICA","20568112220",1
"HUANCAVELICA","20568275013",1
"HUANCAVELICA","20568339607",1
"HUANCAVELICA","20568355041",2
"HUANCAVELICA","20568394888",1
"HUANCAVELICA","20568459505",2
"HUANCAVELICA","20568960662",1
"HUANCAVELICA","20600223837",1
"HUANCAVELICA","20600659503",1
"HUANCAVELICA","20601169941",1
"HUANCAVELICA","20603094302",1
"HUANUCO","10805536867",7
"HUANUCO","20227233321",1
"HUANUCO","20393081776",2
"HUANUCO","20393155648",1
"HUANUCO","20393353105",4
"HUANUCO","20447399840",1
"HUANUCO","20455023417",1
"HUANUCO","20482471995",1
"HUANUCO","20489371791",5
"HUANUCO","20489432413",2
"HUANUCO","20489466741",1
"HUANUCO","20489530261",2
"HUANUCO","20489532981",3
"HUANUCO","20489536979",3
"HUANUCO","20489537274",1
"HUANUCO","20489595045",4
"HUANUCO","20489601541",1
"HUANUCO","20489613558",2
"HUANUCO","20489649587",1
"HUANUCO","20489660122",1
"HUANUCO","20489674000",1
"HUANUCO","20489688647",1
"HUANUCO","20489747244",7
"HUANUCO","20495675611",1
"HUANUCO","20505096721",1
"HUANUCO","20510591829",5
"HUANUCO","20523013603",1
"HUANUCO","20528905197",3
"HUANUCO","20528924493",2
"HUANUCO","20528950494",3
"HUANUCO","20529014211",1
"HUANUCO","20529066521",2
"HUANUCO","20529161353",1
"HUANUCO","20529202998",1
"HUANUCO","20529286997",1
"HUANUCO","20530837816",1
"HUANUCO","20531065019",1
"HUANUCO","20542425653",1
"HUANUCO","20542425904",3
"HUANUCO","20542531097",1
"HUANUCO","20542542021",1
"HUANUCO","20542559854",1
"HUANUCO","20571184151",1
"HUANUCO","20573078897",1
"HUANUCO","20573177879",1
"HUANUCO","20573247249",1
"HUANUCO","20573263104",1
"HUANUCO","20573333081",1
"HUANUCO","20600369319",1
"HUANUCO","20600683650",1
"HUANUCO","20601556791",1
"HUANUCO","20601629641",2
"HUANUCO","20601740631",1
"HUANUCO","20601754259",1
"HUANUCO","20602102727",2
"HUANUCO","20602172571",2
"HUANUCO","20602450881",1
"HUANUCO","20602500463",1
"HUANUCO","20602889191",1
"HUANUCO","20603064101",2
"HUANUCO","20603976275",1
"HUANUCO","20604155755",1
"HUANUCO","20604215502",1
"HUANUCO","20604347778",1
"HUANUCO","20604740968",1
"HUANUCO","20605163841",1
"HUANUCO","20605409041",1
"ICA","20100136741",1
"ICA","20367759551",1
"ICA","20452808022",1
"ICA","20494633834",1
"ICA","20494642582",1
"ICA","20494951020",1
"ICA","20503981298",1
"ICA","20504645046",1
"JUNIN","20110614609",1
"JUNIN","20351575574",2
"JUNIN","20398613563",1
"JUNIN","20402277689",1
"JUNIN","20452526809",1
"JUNIN","20486572061",1
"JUNIN","20486774445",1
"JUNIN","20486988755",1
"JUNIN","20486990229",1
"JUNIN","20487181910",1
"JUNIN","20487274683",1
"JUNIN","20489575362",1
"JUNIN","20494257590",1
"JUNIN","20511317038",1
"JUNIN","20536715518",1
"JUNIN","20548123888",1
"JUNIN","20563373009",1
"JUNIN","20568838352",1
"JUNIN","20568986386",1
"JUNIN","20573907788",1
"JUNIN","20600021045",1
"JUNIN","20600243226",1
"JUNIN","20600540581",1
"JUNIN","20601317738",1
"JUNIN","20602591701",1
"JUNIN","20603016743",1
"LA LIBERTAD","10266095029",1
"LA LIBERTAD","10266854892",1
"LA LIBERTAD","20477378693",1
"LA LIBERTAD","20481249172",1
"LA LIBERTAD","20481605491",2
"LA LIBERTAD","20481700729",1
"LA LIBERTAD","20481871027",1
"LA LIBERTAD","20481966672",2
"LA LIBERTAD","20482021442",1
"LA LIBERTAD","20482259856",2
"LA LIBERTAD","20482843299",1
"LA LIBERTAD","20511317038",1
"LA LIBERTAD","20529688017",1
"LA LIBERTAD","20539979885",1
"LA LIBERTAD","20544771478",2
"LA LIBERTAD","20560076798",1
"LA LIBERTAD","20600357710",1
"LA LIBERTAD","20601114870",1
"LA LIBERTAD","99000027401",1
"LAMBAYEQUE","10098726701",1
"LAMBAYEQUE","10273601398",1
"LAMBAYEQUE","20326387593",1
"LAMBAYEQUE","20397392164",1
"LAMBAYEQUE","20501557227",1
"LAMBAYEQUE","20501581951",1
"LAMBAYEQUE","20539023323",1
"LIMA","20119423695",1
"LIMA","20121907608",1
"LIMA","20266458089",1
"LIMA","20403336069",1
"LIMA","20407423446",1
"LIMA","20445349322",1
"LIMA","20452744890",1
"LIMA","20478157976",1
"LIMA","20508349301",1
"LIMA","20509958875",2
"LIMA","20510103450",1
"LIMA","20516419572",2
"LIMA","20521715716",1
"LIMA","20523071042",1
"LIMA","20528299688",1
"LIMA","20530954022",1
"LIMA","20533765506",1
"LIMA","20534010151",1
"LIMA","20534142227",1
"LIMA","20536444905",2
"LIMA","20536907930",2
"LIMA","20545134536",1
"LIMA","20545316561",1
"LIMA","20549823565",2
"LIMA","20557387421",1
"LIMA","20600362161",2
"LIMA","20601897661",2
"LIMA","20603373945",1
"LIMA","20604753539",1
"LIMA","99000028831",1
"LORETO","20103750963",2
"LORETO","20351988143",1
"LORETO","20393069644",1
"LORETO","20393418321",1
"LORETO","20393633990",3
"LORETO","20393644509",1
"LORETO","20393758423",1
"LORETO","20393877431",1
"LORETO","20445631265",1
"LORETO","20445667618",1
"LORETO","20450223582",1
"LORETO","20450446701",1
"LORETO","20450447774",1
"LORETO","20451289382",2
"LORETO","20451304527",1
"LORETO","20451445937",2
"LORETO","20493537742",5
"LORETO","20493560302",2
"LORETO","20493606736",1
"LORETO","20493748018",1
"LORETO","20493874587",3
"LORETO","20501430669",1
"LORETO","20501581951",1
"LORETO","20528115897",1
"LORETO","20528162895",1
"LORETO","20528255982",2
"LORETO","20528350462",2
"LORETO","20528388869",3
"LORETO","20528452541",1
"LORETO","20529202998",1
"LORETO","20531302321",2
"LORETO","20541181556",1
"LORETO","20541264338",1
"LORETO","20567140220",1
"LORETO","20567223605",2
"LORETO","20572123228",1
"LORETO","20572288901",1
"LORETO","20600006968",1
"LORETO","20600063074",1
"LORETO","20601229049",1
"LORETO","20601324491",1
"LORETO","20601740797",1
"LORETO","20603875576",1
"MOQUEGUA","20412126913",2
"PASCO","10091754857",1
"PASCO","10103454731",1
"PASCO","10805536867",1
"PASCO","20107211480",1
"PASCO","20419278875",1
"PASCO","20419457290",1
"PASCO","20477530665",1
"PASCO","20486845725",1
"PASCO","20486887568",1
"PASCO","20486990903",1
"PASCO","20486991381",1
"PASCO","20487283755",1
"PASCO","20489512794",1
"PASCO","20489682363",1
"PASCO","20489708346",1
"PASCO","20489734185",3
"PASCO","20510591829",1
"PASCO","20511631760",2
"PASCO","20515284177",3
"PASCO","20528924493",1
"PASCO","20529014211",1
"PASCO","20529119667",1
"PASCO","20529137720",1
"PASCO","20529166151",1
"PASCO","20529202998",1
"PASCO","20529284609",1
"PASCO","20537169207",1
"PASCO","20552960816",1
"PASCO","20568688105",1
"PASCO","20568917147",1
"PASCO","20600066839",1
"PASCO","20600101791",1
"PASCO","20600630963",2
"PASCO","20601169941",1
"PASCO","20601277078",1
"PASCO","20601543738",1
"PASCO","20603142633",1
"PASCO","20604063290",1
"PASCO","20604141673",1
"PASCO","20604243221",2
"PASCO","99000027401",2
"PIURA","10036836569",1
"PIURA","20477530665",1
"PIURA","20484044644",1
"PIURA","20526032854",1
"PIURA","20526090111",1
"PIURA","20526238398",1
"PIURA","20526331762",1
"PIURA","20526479247",1
"PIURA","20530035671",1
"PIURA","20530045553",1
"PIURA","20530227406",2
"PIURA","20537169207",1
"PIURA","20601169941",1
"PIURA","20602311857",1
"PIURA","20603451326",1
"PUNO","20601116082",1
"PUNO","99000019646",1
"PUNO","99000027401",1
"SAN MARTIN","10053878488",1
"SAN MARTIN","20378808767",1
"SAN MARTIN","20392307045",1
"SAN MARTIN","20393404532",1
"SAN MARTIN","20393513587",1
"SAN MARTIN","20450157008",1
"SAN MARTIN","20450324184",1
"SAN MARTIN","20450326713",2
"SAN MARTIN","20450430537",1
"SAN MARTIN","20450666735",1
"SAN MARTIN","20489530261",2
"SAN MARTIN","20489532981",1
"SAN MARTIN","20490320301",1
"SAN MARTIN","20493908660",1
"SAN MARTIN","20494079713",1
"SAN MARTIN","20494114217",1
"SAN MARTIN","20529066521",1
"SAN MARTIN","20562885031",1
"SAN MARTIN","20572131913",1
"SAN MARTIN","20572141986",1
"SAN MARTIN","20600179714",1
"SAN MARTIN","20600407491",1
"SAN MARTIN","20601139457",1
"SAN MARTIN","20602246516",1
"SAN MARTIN","20603870973",1
"SAN MARTIN","20604341150",1
"TACNA","20133176404",1
"TACNA","20191808241",2
"TACNA","20447926645",1
"TACNA","20448161723",1
"TACNA","20448562396",1
"TACNA","20452440912",1
"TACNA","20489532981",2
"TACNA","20491305542",1
"TACNA","20498670777",1
"TACNA","20521378531",1
"TACNA","20533979727",1
"TACNA","20601229049",1
"TACNA","20601771641",2
"TUMBES","20154727826",1
"TUMBES","20367062283",2
"TUMBES","20409211411",2
"TUMBES","20409252363",2
"TUMBES","20409285024",2
"TUMBES","20409316868",1
"TUMBES","20409339728",1
"TUMBES","20409406182",2
"TUMBES","20409408983",1
"TUMBES","20409448187",1
"TUMBES","20409487913",1
"TUMBES","20479087360",1
"TUMBES","20480061595",1
"TUMBES","20480789408",1
"TUMBES","20484033952",1
"TUMBES","20487388697",1
"TUMBES","20489532981",1
"TUMBES","20525341438",2
"TUMBES","20525413871",2
"TUMBES","20525491677",1
"TUMBES","20534158069",1
"TUMBES","20542254158",1
"TUMBES","20600560868",1
"TUMBES","20601500494",1
"UCAYALI","20352374963",1
"UCAYALI","20393155648",1
"UCAYALI","20393252848",1
"UCAYALI","20393281279",1
"UCAYALI","20393598710",1
"UCAYALI","20393722747",1
"UCAYALI","20489532981",1
"UCAYALI","20603064101",1
